Unnamed: 0,MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Neighborhood,Condition_1,Condition_2,Bldg_Type,House_Style,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Roof_Matl,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Cond,Foundation,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,Electrical,First_Flr_SF,Second_Flr_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,TotRms_AbvGrd,Functional,Fireplaces,Garage_Type,Garage_Finish,Garage_Cars,Garage_Area,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Three_season_porch,Screen_Porch,Pool_Area,Pool_QC,Fence,Misc_Feature,Misc_Val,Mo_Sold,Year_Sold,Sale_Type,Sale_Condition,Sale_Price,Longitude,Latitude,cluster,distance_from_cluster0,distance_from_cluster1,distance_from_cluster2
11,Two_Story_1946_and_Newer,Residential_Low_Density,75,10000,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,OneFam,Two_Story,Average,1993,1994,Gable,CompShg,HdBoard,HdBoard,,0,Typical,PConc,Typical,No,Unf,7,Unf,0,763,763,GasA,Good,Y,SBrkr,763,892,1655,0,0,2,1,3,1,7,Typ,1,Attchd,Fin,2,440,Typical,Paved,157,84,0,0,0,0,No_Pool,No_Fence,,0,4,2010,WD ,Normal,175900,-93.636947,42.05848,-1,0.00026584846270265164,0.000921760297895798,0.0005258440233589118
12,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0,7980,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,One_Story,Good,1992,2007,Gable,CompShg,HdBoard,HdBoard,,0,Good,PConc,Typical,No,ALQ,1,Unf,0,233,1168,GasA,Excellent,Y,SBrkr,1187,0,1187,1,0,2,0,3,1,6,Typ,0,Attchd,Fin,2,420,Typical,Paved,483,21,0,0,0,0,No_Pool,Good_Privacy,Shed,500,3,2010,WD ,Normal,185000,-93.635951,42.057419,-1,0.0002436039375721801,0.0009003184345931591,0.00050330181890167
13,Two_Story_1946_and_Newer,Residential_Low_Density,63,8402,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,Two_Story,Average,1998,1998,Gable,CompShg,VinylSd,VinylSd,,0,Typical,PConc,Typical,No,Unf,7,Unf,0,789,789,GasA,Good,Y,SBrkr,789,676,1465,0,0,2,1,3,1,7,Typ,1,Attchd,Fin,2,393,Typical,Paved,0,75,0,0,0,0,No_Pool,No_Fence,,0,5,2010,WD ,Normal,180400,-93.638647,42.058151,-1,0.00027108311434232796,0.0009229463668634307,0.0005352030918586839
14,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,85,10176,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,One_Story,Average,1990,1990,Gable,CompShg,HdBoard,HdBoard,,0,Typical,PConc,Typical,Gd,GLQ,3,Unf,0,663,1300,GasA,Good,Y,SBrkr,1341,0,1341,1,0,1,1,2,1,5,Typ,1,Attchd,Unf,2,506,Typical,Paved,192,0,0,0,0,0,No_Pool,No_Fence,,0,2,2010,WD ,Normal,171500,-93.634626,42.057268,-1,0.00023449330944698548,0.0008930685814766462,0.0004908228524764865
15,One_Story_PUD_1946_and_Newer,Residential_Low_Density,0,6820,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,Stone_Brook,Norm,Norm,TwnhsE,One_Story,Average,1985,1985,Gable,CompShg,HdBoard,HdBoard,,0,Typical,PConc,Typical,Av,GLQ,3,BLQ,1120,0,1488,GasA,Typical,Y,SBrkr,1502,0,1502,1,0,1,1,1,1,4,Typ,0,Attchd,RFn,2,528,Typical,Paved,0,54,0,0,140,0,No_Pool,No_Fence,,0,6,2010,WD ,Normal,212000,-93.632913,42.059169,-1,0.00025951113061719325,0.0009196398879567814,0.0005056935019477107
16,Two_Story_1946_and_Newer,Residential_Low_Density,47,53504,Pave,No_Alley_Access,Moderately_Irregular,HLS,AllPub,CulDSac,Mod,Stone_Brook,Norm,Norm,OneFam,Two_Story,Average,2003,2003,Hip,CompShg,CemntBd,Wd Shng,BrkFace,603,Typical,PConc,Typical,Gd,ALQ,1,Unf,0,234,1650,GasA,Excellent,Y,SBrkr,1690,1589,3279,1,0,3,1,4,1,12,Mod,1,BuiltIn,Fin,3,841,Typical,Paved,503,36,0,0,210,0,No_Pool,No_Fence,,0,6,2010,WD ,Normal,538000,-93.62655,42.061239,-1,0.0002887656923636368,0.000939635612180405,0.0005002687209860943
17,One_and_Half_Story_Finished_All_Ages,Residential_Low_Density,152,12134,Pave,No_Alley_Access,Slightly_Irregular,Bnk,AllPub,Inside,Mod,Gilbert,Norm,Norm,OneFam,One_and_Half_Fin,Good,1988,2005,Gable,CompShg,Wd Sdng,Wd Sdng,,0,Typical,Wood,Typical,Av,GLQ,3,Unf,0,132,559,GasA,Good,Y,SBrkr,1080,672,1752,0,0,2,0,4,1,8,Typ,0,Basment,RFn,2,492,Typical,Paved,325,12,0,0,0,0,No_Pool,No_Fence,,0,6,2010,WD ,Normal,164000,-93.6235954,42.0603514,-1,0.0002787713116027808,0.0009195769217757095,0.00047251100846400175
18,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,88,11394,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,Stone_Brook,Norm,Norm,OneFam,One_Story,Poor,2010,2010,Hip,CompShg,VinylSd,VinylSd,Stone,350,Typical,PConc,Typical,Av,GLQ,3,Unf,0,411,1856,GasA,Excellent,Y,SBrkr,1856,0,1856,1,0,1,1,1,1,8,Typ,1,Attchd,Fin,3,834,Typical,Paved,113,0,0,0,0,0,No_Pool,No_Fence,,0,6,2010,New,Partial,394432,-93.628804,42.05885,-1,0.0002465275881931073,0.000903163599150006,0.0004744572133267807
19,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,140,19138,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,OneFam,One_Story,Average,1951,1951,Gable,CompShg,VinylSd,VinylSd,,0,Typical,CBlock,Typical,No,LwQ,4,Unf,0,744,864,GasA,Excellent,Y,SBrkr,864,0,864,0,0,1,0,2,1,4,Typ,0,Detchd,Unf,2,400,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,,0,6,2010,WD ,Normal,141000,-93.622971,42.056673,-1,0.0002187456716502091,0.0008548861395074013,0.00040922479644403255
20,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,85,13175,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Northwest_Ames,Norm,Norm,OneFam,One_Story,Above_Average,1978,1988,Gable,CompShg,Plywood,Plywood,Stone,119,Typical,CBlock,Typical,No,ALQ,1,Rec,163,589,1542,GasA,Typical,Y,SBrkr,2073,0,2073,1,0,2,0,3,1,7,Min1,2,Attchd,Unf,2,500,Typical,Paved,349,0,0,0,0,0,No_Pool,Minimum_Privacy,,0,2,2010,WD ,Normal,210000,-93.636655,42.054453,-1,0.00020258403637555977,0.0008535732800539412,0.00046966995705089457
21,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,105,11751,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Northwest_Ames,Norm,Norm,OneFam,One_Story,Above_Average,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480,Typical,CBlock,Typical,No,BLQ,2,Unf,0,1139,1844,GasA,Excellent,Y,SBrkr,1844,0,1844,0,0,2,0,3,1,7,Typ,1,Attchd,RFn,2,546,Typical,Paved,0,122,0,0,0,0,No_Pool,Minimum_Privacy,,0,1,2010,COD,Normal,190000,-93.633962,42.050346,0,0.00012388703718306505,0.0007746915049006802,0.00039396762548189426
22,Split_Foyer,Residential_Low_Density,85,10625,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Northwest_Ames,Norm,Norm,OneFam,SFoyer,Above_Average,1974,1974,Gable,CompShg,Plywood,Plywood,BrkFace,81,Typical,CBlock,Typical,Gd,GLQ,3,LwQ,168,0,1053,GasA,Typical,Y,SBrkr,1173,0,1173,1,0,2,0,3,1,6,Typ,2,Attchd,RFn,2,528,Typical,Paved,0,120,0,0,0,0,No_Pool,Minimum_Privacy,,0,1,2010,WD ,Family,170000,-93.636372,42.05027,-1,0.00014423937513676136,0.0007832442363798891,0.0004161229404878128
23,Two_Story_1946_and_Newer,Floating_Village_Residential,0,7500,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Somerset,Norm,Norm,OneFam,Two_Story,Average,2000,2000,Gable,CompShg,VinylSd,VinylSd,,0,Typical,PConc,Typical,No,GLQ,3,Unf,0,281,814,GasA,Excellent,Y,SBrkr,814,860,1674,1,0,2,1,3,1,7,Typ,0,Attchd,RFn,2,663,Typical,Paved,0,96,0,0,0,0,No_Pool,No_Fence,,0,1,2010,WD ,Normal,216000,-93.639366,42.049297,-1,0.00016622301405899028,0.0007812683174199579,0.00043601498983319027
24,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0,11241,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,CulDSac,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Good,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180,Typical,CBlock,Typical,No,ALQ,1,Unf,0,426,1004,GasA,Excellent,Y,SBrkr,1004,0,1004,1,0,1,0,2,1,5,Typ,1,Attchd,Fin,2,480,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,Shed,700,3,2010,WD ,Normal,149000,-93.626231,42.055147,-1,0.00018335465521253334,0.0008338668981695419,0.00040173395443442433
25,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0,12537,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,CulDSac,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Above_Average,1971,2008,Gable,CompShg,VinylSd,VinylSd,,0,Typical,CBlock,Typical,No,GLQ,3,Unf,0,344,1078,GasA,Excellent,Y,SBrkr,1078,0,1078,1,0,1,1,3,1,6,Typ,1,Attchd,Fin,2,500,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,,0,4,2010,WD ,Normal,149900,-93.626537,42.054592,-1,0.00017324769323214754,0.0008249269724377198,0.0003949986620747287
26,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,65,8450,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Above_Average,1968,1968,Gable,CompShg,VinylSd,VinylSd,,0,Typical,CBlock,Typical,No,BLQ,2,Unf,0,281,1056,GasA,Excellent,Y,SBrkr,1056,0,1056,1,0,1,0,3,1,6,Typ,1,Attchd,Unf,1,304,Typical,Paved,0,85,184,0,0,0,No_Pool,No_Fence,,0,7,2010,WD ,Normal,142000,-93.628806,42.055227,-1,0.00018335247570614986,0.0008410398720667766,0.0004191929960060289
27,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,70,8400,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Average,1970,1970,Gable,CompShg,Plywood,Plywood,,0,Typical,CBlock,Typical,No,ALQ,1,Rec,78,0,882,GasA,Typical,Y,SBrkr,882,0,882,1,0,1,0,2,1,4,Typ,0,Attchd,Fin,2,525,Typical,Paved,240,0,0,0,0,0,No_Pool,Minimum_Privacy,,0,4,2010,WD ,Normal,126000,-93.627112,42.053395,-1,0.00015170556538269154,0.0008055785917598208,0.0003804822853726437
28,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,70,10500,Pave,No_Alley_Access,Regular,Lvl,AllPub,FR2,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Average,1971,1971,Gable,CompShg,HdBoard,HdBoard,,0,Typical,CBlock,Typical,No,ALQ,1,Unf,0,432,864,GasA,Typical,Y,SBrkr,864,0,864,0,0,1,0,3,1,5,Typ,1,No_Garage,No_Garage,0,0,No_Garage,Paved,0,0,0,0,0,0,No_Pool,No_Fence,,0,4,2010,ConLI,Normal,115000,-93.622769,42.056375,-1,0.00021462696130210214,0.0008494493357894792,0.000403441143013105
29,One_Story_PUD_1946_and_Newer,Residential_High_Density,26,5858,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,FR2,Gtl,North_Ames,Norm,Norm,TwnhsE,One_Story,Average,1999,1999,Gable,CompShg,MetalSd,MetalSd,,0,Typical,PConc,Typical,No,GLQ,3,BLQ,0,354,1405,GasA,Excellent,Y,SBrkr,1337,0,1337,1,0,2,0,2,1,5,Typ,1,Attchd,Fin,2,511,Typical,Paved,203,68,0,0,0,0,No_Pool,No_Fence,,0,6,2010,WD ,Normal,184000,-93.624373,42.055318,-1,0.00019095605839396137,0.0008334491259639456,0.00039407798819627855
30,Two_Story_PUD_1946_and_Newer,Residential_Medium_Density,21,1680,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Briardale,Norm,Norm,Twnhs,Two_Story,Average,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,504,Typical,CBlock,Typical,No,Rec,6,Unf,0,327,483,GasA,Typical,Y,SBrkr,483,504,987,0,0,1,1,2,1,5,Typ,0,Detchd,Unf,1,264,Typical,Paved,275,0,0,0,0,0,No_Pool,No_Fence,,0,2,2010,COD,Normal,96000,-93.627271,42.051835,0,0.00012440213083642141,0.0007791553472042755,0.00035847805424242703
31,Two_Story_PUD_1946_and_Newer,Residential_Medium_Density,21,1680,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Briardale,Norm,Norm,Twnhs,Two_Story,Average,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492,Typical,CBlock,Typical,No,Rec,6,Unf,0,225,525,GasA,Typical,Y,SBrkr,525,567,1092,0,0,1,1,3,1,6,Typ,0,Detchd,Unf,1,320,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,,0,3,2010,WD ,Normal,105500,-93.627536,42.051684,0,0.00012151902754168001,0.0007772010529218396,0.0003581831736653108
32,Two_Story_PUD_1946_and_Newer,Residential_Medium_Density,21,1680,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Briardale,Norm,Norm,Twnhs,Two_Story,Average,1971,1971,Gable,CompShg,HdBoard,ImStucc,BrkFace,381,Typical,CBlock,Typical,No,Unf,7,Unf,0,525,525,GasA,Typical,Y,SBrkr,525,567,1092,0,0,1,1,3,1,6,Typ,0,Detchd,Unf,1,264,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,,0,3,2010,WD ,Family,88000,-93.62728,42.051685,0,0.00012178399506526528,0.0007766029167281421,0.00035635593231661853
33,One_Story_PUD_1946_and_Newer,Residential_Low_Density,53,4043,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Northpark_Villa,Norm,Norm,TwnhsE,One_Story,Average,1977,1977,Gable,CompShg,Plywood,Plywood,,0,Typical,CBlock,Typical,No,ALQ,1,Unf,0,709,1069,GasA,Typical,Y,SBrkr,1069,0,1069,0,0,2,0,2,1,4,Typ,1,Attchd,RFn,2,440,Typical,Paved,0,55,0,0,165,0,No_Pool,No_Fence,,0,7,2010,WD ,Normal,127500,-93.627232,42.049672,0,8.6921675426447e-05,0.0007419741232803062,0.0003272589258549702
34,Two_Story_PUD_1946_and_Newer,Residential_Low_Density,24,2280,Pave,No_Alley_Access,Regular,Lvl,AllPub,FR2,Gtl,Northpark_Villa,Norm,Norm,Twnhs,Two_Story,Above_Average,1975,1975,Gable,CompShg,Plywood,Brk Cmn,,0,Typical,CBlock,Typical,No,ALQ,1,Unf,0,341,855,GasA,Typical,Y,SBrkr,855,601,1456,0,0,2,1,3,1,6,Typ,1,Attchd,Unf,2,440,Typical,Paved,173,0,0,0,0,0,No_Pool,No_Fence,,0,6,2010,WD ,Normal,149900,-93.625924,42.050683,0,0.00010761239570182404,0.000756319467962689,0.00033211121715595414
35,One_Story_PUD_1946_and_Newer,Residential_Low_Density,24,2280,Pave,No_Alley_Access,Regular,Lvl,AllPub,FR2,Gtl,Northpark_Villa,Norm,Norm,Twnhs,One_Story,Above_Average,1975,1975,Gable,CompShg,Plywood,Brk Cmn,,0,Typical,CBlock,Typical,No,Unf,7,Unf,0,836,836,GasA,Excellent,Y,SBrkr,836,0,836,0,0,1,0,2,1,4,Typ,0,Attchd,Unf,1,308,Typical,Paved,0,30,0,0,0,0,No_Pool,No_Fence,,0,6,2010,WD ,Normal,120000,-93.625966,42.050681,0,0.00010743675179469875,0.0007563750782213689,0.00033237569230982567
36,Two_Story_PUD_1946_and_Newer,Residential_Low_Density,24,2280,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Northpark_Villa,Norm,Norm,Twnhs,Two_Story,Average,1978,1978,Gable,CompShg,Plywood,Brk Cmn,,0,Typical,CBlock,Typical,No,ALQ,1,Unf,0,544,855,GasA,Fair,Y,SBrkr,855,601,1456,0,0,2,1,3,1,7,Typ,1,Attchd,Unf,2,440,Typical,Paved,26,0,0,0,0,0,No_Pool,No_Fence,,0,7,2010,WD ,Normal,146000,-93.625848,42.049811,0,9.332003241130334e-05,0.0007411479676349166,0.0003188486621050688
37,Two_Story_1946_and_Newer,Residential_Low_Density,102,12858,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Northridge_Heights,Norm,Norm,OneFam,Two_Story,Average,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,162,Typical,PConc,Typical,No,Unf,7,Unf,0,1590,1590,GasA,Excellent,Y,SBrkr,1627,707,2334,0,0,2,1,3,1,10,Typ,1,Attchd,Fin,3,751,Typical,Paved,144,133,0,0,0,0,No_Pool,No_Fence,,0,1,2010,New,Partial,376162,-93.653201,42.062352,-1,0.0004475401496259447,0.0010633036831150563,0.0007192187801215829
38,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,98,11478,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Northridge_Heights,Norm,Norm,OneFam,One_Story,Average,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200,Typical,PConc,Typical,No,GLQ,3,Unf,0,486,1704,GasA,Excellent,Y,SBrkr,1704,0,1704,1,0,2,0,3,1,7,Typ,1,Attchd,RFn,3,772,Typical,Paved,0,50,0,0,0,0,No_Pool,No_Fence,,0,5,2010,WD ,Normal,306000,-93.654645,42.062109,-1,0.0004585011322043639,0.0010681003877767604,0.0007303966194388995
39,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,83,10159,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Northridge_Heights,Norm,Norm,OneFam,One_Story,Average,2009,2010,Hip,CompShg,VinylSd,VinylSd,Stone,450,Typical,PConc,Typical,Av,GLQ,3,Unf,0,284,1930,GasA,Excellent,Y,SBrkr,1940,0,1940,1,0,2,1,3,1,8,Typ,1,Attchd,Fin,3,606,Typical,Paved,168,95,0,0,0,0,No_Pool,No_Fence,,0,4,2010,New,Partial,395192,-93.6537329,42.0611331,-1,0.00043840021528656877,0.0010475267995595653,0.0007103226392800922
